2,0,1.99975,0.000252309,0.000100153,0.000100861;
2,-1,2.0002,-0.999932,0.000104063,0.000102342;
2,1,2.0004,0.999141,0.000105545,9.5147e-05;
2,-2,1.99962,-1.99993,9.6717e-05,0.000104942;
2,2,2.00004,2.00005,0.000101693,9.53172e-05;
3,1,2.99999,0.999535,9.59552e-05,9.27327e-05;
3,0,3.00031,-0.000394682,0.000101268,9.77324e-05;
3,-1,3.0002,-0.999937,0.000102709,9.1942e-05;
3,-2,2.99974,-2.00023,0.000100048,9.31126e-05;
3,2,3.00032,2.00005,9.25012e-05,0.000102064;
4,-2,4.0002,-1.99943,9.95389e-05,0.000100983;
4,2,3.99999,1.99994,9.34599e-05,0.000106224;
4,1,4.0005,0.999682,9.79086e-05,0.000102544;
4,-1,3.99988,-0.999596,9.86982e-05,9.94915e-05;
4,0,3.99955,0.000371477,0.000105881,0.000105697;
5,0,5.00002,-7.30689e-05,9.96564e-05,9.89515e-05;
5,-1,5.00016,-1.00052,0.000100862,9.71491e-05;
5,2,5.00071,1.99965,9.76548e-05,9.16327e-05;
5,1,4.99978,0.999804,0.0001008,0.000101678;
5,-2,5.00099,-2.00029,0.00010884,0.000105334;
6,1,6.00002,0.999732,9.7446e-05,0.000101132;
6,2,6.00034,1.99962,0.000101812,9.41192e-05;
6,0,5.99983,-0.000780612,0.000102542,0.000103631;
6,-2,6.00052,-2.00026,9.49876e-05,9.99213e-05;
6,-1,6.00029,-1.00027,9.72088e-05,9.45684e-05;
7,1,7.00031,0.999412,0.000108141,0.000101715;
7,0,6.99949,0.000685317,9.96065e-05,0.000101776;
7,-1,7,-1.00016,0.000103157,0.000102301;
7,2,7.00028,1.99988,9.40044e-05,0.000101794;
7,-2,7.00049,-1.99999,9.916e-05,9.98685e-05;
8,2,7.99934,2.00055,0.000102605,0.000107538;
8,0,8.00028,0.000506365,0.000102697,9.76747e-05;
8,-1,7.99981,-0.999773,0.000102787,0.000103968;
8,-2,8.00017,-2.00022,9.54721e-05,9.98783e-05;
8,1,7.9994,1.00036,9.74044e-05,9.55846e-05;
9,-1,8.99988,-1.00019,0.000108173,9.64304e-05;
9,2,8.99969,2.00064,0.000100106,9.67262e-05;
9,-2,8.99961,-2.00024,9.87041e-05,0.000100646;
9,1,9.00026,1.00019,9.39566e-05,0.000108912;
9,0,8.99942,0.000414563,0.000101416,9.6816e-05;
10,1,10.0003,1.00032,0.000100468,9.98826e-05;
10,-1,10,-0.999792,9.06768e-05,9.54217e-05;
10,0,9.99993,7.3686e-05,0.000106458,0.000101867;
10,-2,10,-1.99997,0.000101559,0.000100526;
10,2,10.0003,1.99998,9.75063e-05,0.000104812;
